id,Q1,Q2,Q3,Q4,Q5
conv_801,NO,NO,NO,NO,NO
conv_802,NO,NO,NO,NO,NO
conv_803,YES,NO,NO,NO,NO
conv_804,NO,NO,NO,NO,NO
conv_805,NO,NO,NO,NO,NO
conv_806,NO,NO,NO,NO,NO
conv_807,NO,NO,NO,NO,NO
conv_808,NO,NO,NO,NO,NO
conv_809,NO,NO,NO,NO,NO
conv_810,NO,NO,NO,NO,NO
conv_811,NO,NO,NO,NO,NO
conv_812,NO,NO,NO,NO,NO
conv_813,NO,NO,NO,NO,NO
conv_814,NO,NO,NO,NO,NO
conv_815,NO,NO,NO,YES,NO
conv_816,NO,NO,NO,NO,NO
conv_817,NO,NO,NO,NO,NO
conv_818,NO,NO,NO,NO,NO
conv_819,NO,NO,NO,NO,NO
conv_820,NO,NO,NO,NO,NO
conv_821,NO,NO,NO,NO,NO
conv_822,NO,NO,NO,NO,NO
conv_823,NO,NO,YES,NO,NO
conv_824,NO,NO,NO,NO,NO
conv_825,NO,NO,NO,NO,NO
conv_826,NO,NO,NO,NO,NO
conv_827,NO,NO,NO,NO,NO
conv_828,NO,NO,NO,NO,NO
conv_829,NO,NO,NO,NO,NO
conv_830,NO,NO,NO,NO,NO
conv_831,NO,NO,NO,NO,NO
conv_832,NO,NO,NO,NO,NO
conv_833,NO,NO,NO,NO,NO
conv_834,NO,NO,NO,NO,NO
conv_835,NO,NO,NO,NO,NO
conv_836,NO,NO,NO,NO,NO
conv_837,NO,NO,NO,NO,NO
conv_838,NO,NO,NO,NO,NO
conv_839,NO,NO,NO,NO,NO
conv_840,NO,NO,NO,NO,NO
conv_841,NO,NO,NO,NO,NO
conv_842,NO,NO,NO,NO,NO
conv_843,NO,NO,NO,NO,NO
conv_844,NO,NO,NO,NO,NO
conv_845,NO,NO,YES,NO,NO
conv_846,NO,NO,NO,NO,NO
conv_847,NO,NO,NO,NO,NO
conv_848,NO,NO,NO,NO,NO
conv_849,NO,NO,NO,NO,NO
conv_850,NO,NO,NO,NO,NO
conv_851,NO,NO,NO,NO,NO
conv_852,NO,NO,NO,NO,NO
conv_853,NO,NO,NO,NO,NO
conv_854,NO,NO,NO,NO,NO
conv_855,NO,NO,NO,NO,NO
conv_856,NO,NO,NO,NO,NO
conv_857,NO,NO,NO,NO,NO
conv_858,NO,NO,NO,NO,NO
conv_859,NO,NO,YES,NO,NO
conv_860,NO,NO,NO,NO,NO
conv_861,NO,NO,NO,NO,NO
conv_862,NO,NO,NO,NO,NO
conv_863,NO,NO,NO,NO,NO
conv_864,YES,NO,NO,NO,YES
conv_865,NO,NO,NO,NO,NO
conv_866,NO,NO,NO,NO,NO
conv_867,NO,NO,NO,NO,NO
conv_868,NO,NO,NO,NO,NO
conv_869,NO,NO,NO,NO,NO
conv_870,NO,NO,NO,NO,NO
conv_871,NO,NO,NO,NO,NO
conv_872,NO,NO,NO,NO,NO
conv_873,NO,NO,YES,NO,NO
conv_874,NO,NO,NO,NO,NO
conv_875,NO,NO,NO,NO,NO
conv_876,NO,NO,NO,NO,NO
conv_877,NO,NO,NO,NO,NO
conv_878,NO,NO,NO,NO,NO
conv_879,NO,NO,NO,NO,NO
conv_880,NO,NO,NO,NO,YES
conv_881,NO,NO,NO,NO,NO
conv_882,NO,NO,NO,NO,NO
conv_883,NO,NO,NO,NO,NO
conv_884,NO,NO,NO,NO,NO
conv_885,NO,NO,NO,NO,NO
conv_886,NO,NO,NO,NO,NO
conv_887,NO,NO,NO,NO,NO
conv_888,NO,NO,NO,NO,NO
conv_889,NO,NO,NO,NO,YES
conv_890,NO,NO,NO,NO,NO
conv_891,NO,NO,NO,NO,NO
conv_892,NO,NO,NO,NO,NO
conv_893,NO,NO,NO,NO,NO
conv_894,NO,NO,NO,NO,NO
conv_895,NO,NO,YES,NO,NO
conv_896,NO,NO,NO,NO,NO
conv_897,NO,NO,NO,NO,NO
conv_898,NO,NO,NO,NO,NO
conv_899,NO,NO,NO,NO,NO
conv_900,NO,NO,NO,NO,NO
