id,Q1,Q2,Q3,Q4,Q5
conv_601,NO,NO,NO,NO,NO
conv_602,NO,NO,YES,NO,NO
conv_603,NO,NO,YES,YES,NO
conv_604,NO,NO,YES,NO,NO
conv_605,YES,YES,YES,NO,NO
conv_606,NO,NO,NO,NO,NO
conv_607,NO,NO,YES,NO,NO
conv_608,NO,NO,YES,NO,NO
conv_609,NO,NO,YES,NO,NO
conv_610,NO,NO,YES,NO,NO
conv_611,NO,NO,YES,NO,NO
conv_612,NO,NO,NO,NO,NO
conv_613,YES,YES,YES,NO,NO
conv_614,NO,NO,YES,NO,NO
conv_615,YES,NO,YES,NO,NO
conv_616,NO,NO,YES,NO,NO
conv_617,NO,NO,YES,NO,NO
conv_618,YES,NO,NO,NO,NO
conv_619,NO,NO,NO,NO,NO
conv_620,NO,YES,YES,NO,NO
conv_621,YES,NO,YES,NO,NO
conv_622,NO,NO,YES,NO,NO
conv_623,NO,NO,NO,NO,NO
conv_624,NO,NO,NO,NO,NO
conv_625,YES,YES,YES,NO,NO
conv_626,NO,NO,YES,NO,NO
conv_627,NO,NO,YES,NO,NO
conv_628,NO,NO,YES,NO,NO
conv_629,NO,NO,YES,NO,NO
conv_630,NO,NO,YES,NO,NO
conv_631,NO,NO,NO,NO,NO
conv_632,NO,NO,YES,NO,NO
conv_633,NO,NO,YES,NO,NO
conv_634,NO,NO,NO,NO,NO
conv_635,NO,NO,NO,NO,NO
conv_636,NO,YES,NO,NO,NO
conv_637,NO,NO,YES,NO,NO
conv_638,NO,YES,YES,NO,NO
conv_639,NO,NO,NO,NO,NO
conv_640,YES,YES,YES,YES,NO
conv_641,YES,NO,NO,NO,NO
conv_642,NO,NO,NO,NO,NO
conv_643,NO,NO,NO,NO,NO
conv_644,NO,NO,YES,NO,NO
conv_645,NO,NO,YES,NO,NO
conv_646,NO,NO,YES,NO,NO
conv_647,YES,NO,NO,NO,NO
conv_648,NO,NO,YES,NO,NO
conv_649,YES,YES,YES,NO,NO
conv_650,NO,NO,YES,NO,NO
conv_651,NO,NO,NO,NO,NO
conv_652,NO,NO,YES,NO,NO
conv_653,NO,NO,NO,NO,NO
conv_654,YES,YES,YES,NO,NO
conv_655,NO,NO,NO,NO,NO
conv_656,YES,YES,YES,NO,NO
conv_657,YES,NO,YES,NO,NO
conv_658,NO,NO,YES,NO,NO
conv_659,NO,NO,YES,NO,NO
conv_660,NO,NO,YES,NO,NO
conv_661,NO,NO,NO,NO,NO
conv_662,YES,YES,YES,YES,YES
conv_663,NO,NO,NO,NO,NO
conv_664,NO,NO,YES,NO,NO
conv_665,NO,NO,NO,NO,NO
conv_666,YES,YES,YES,NO,NO
conv_667,NO,NO,YES,NO,NO
conv_668,NO,NO,NO,NO,NO
conv_669,NO,YES,YES,NO,NO
conv_670,NO,NO,YES,NO,NO
conv_671,YES,NO,NO,NO,NO
conv_672,YES,NO,YES,NO,NO
conv_673,NO,NO,YES,NO,NO
conv_674,NO,YES,YES,NO,NO
conv_675,NO,NO,NO,NO,NO
conv_676,NO,NO,YES,NO,NO
conv_677,NO,YES,YES,NO,NO
conv_678,YES,NO,YES,NO,NO
conv_679,NO,NO,NO,NO,NO
conv_680,NO,NO,NO,NO,NO
conv_681,YES,YES,YES,YES,YES
conv_682,NO,NO,YES,NO,NO
conv_683,NO,NO,YES,NO,NO
conv_684,NO,NO,NO,NO,NO
conv_685,NO,NO,YES,NO,NO
conv_686,NO,NO,YES,NO,NO
conv_687,NO,NO,YES,NO,NO
conv_688,NO,NO,NO,NO,NO
conv_689,NO,YES,YES,NO,NO
conv_690,YES,YES,YES,NO,NO
conv_691,NO,YES,YES,NO,NO
conv_692,NO,NO,YES,NO,NO
conv_693,NO,NO,YES,NO,NO
conv_694,NO,YES,YES,NO,NO
conv_695,NO,NO,NO,NO,NO
conv_696,NO,NO,NO,NO,NO
conv_697,YES,YES,YES,NO,NO
conv_698,YES,NO,YES,NO,NO
conv_699,NO,YES,YES,NO,NO
conv_700,NO,YES,YES,NO,NO
